Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII,DTLZ2,1,Time,63.95149755477905
NSGAII,DTLZ2,1,HV,0.3737452588444507
NSGAII,problem_tag,1,Time,5.723148584365845
NSGAII,problem_tag,1,HV,0.26105704134177743
